"","enj_swip","gender","orientation","rel_status","da_usage","y_single","rec_friend","met_online","dates","pay","picky","body_types","rate_yourself","snap_easy","snap_time","snap_dating","insta_easy","insta_time","insta_dating","tik_easy","tik_time","tik_dating","tin_easy","tin_time","tin_dating","hin_easy","hin_time","hin_dating","bum_easy","bum_time","bum_dating","con_level"
"84","No","Female","straight","Single","NonUser","doesnt_want","No",NA,"Equal","Male","Women","Endomorph",6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"85","No","Female","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Women","Mesomorph",7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"86","Yes","Male","gay_lesbian","Single","User","cant_find","Yes",NA,"Female","Split","Women","Endomorph",8,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,"high"
"87","No","Female","straight","InRelation","NonUser",NA,"Yes","Offline","Male","Male","Men","Endomorph",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"88","No","Female","bi","Single","NonUser","cant_find","No",NA,"Female","Split","Men","Endomorph",4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"89","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Male","Male","Equal","Endomorph",8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"90","No","Female","straight","InRelation","NonUser",NA,"Yes","Offline","Female","Split","Women","Ectomorph",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"91","Yes","Male","bi","InRelation","NonUser",NA,"No","Offline","Female","Male","Women","Endomorph",3,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,"low"
"92","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Split","Women","Endomorph",5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"93","No","Female","straight","Single","NonUser","cant_find","Yes",NA,"Equal","Split","Equal","Hour Glass",7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
